inputfile,mcc,auc,balance,fmeasure,precision,pd,pf
Zxing.arff,0.3029182989485276,0.7629507278835387,0.7304822433052098,0.6226272656870337,0.47294758505284823,0.915263157894737,0.5893617021276596
ar4.csv,0.5513682254871102,0.9254761904761905,0.8896060277214716,0.679004329004329,0.55,0.9833333333333334,0.33238095238095233
PC4.arff,0.545249774232911,0.9094659344800669,0.8714009841797562,0.6362169911465686,0.5587336889988003,0.7770114942528734,0.15807962529274006
ML.csv,0.3981631926130357,0.8524648905410988,0.8324620406929251,0.5134975338902067,0.3957463980147715,0.7350000000000001,0.2300702189178026
JDT.csv,0.6266035850231064,0.8691465038478958,0.7721171522656283,0.7030977910977911,0.8814057065169413,0.5989915966386554,0.06069858894286375
CM1.arff,0.3024845846938498,0.823936170212766,0.7639907548270151,0.4020917556211674,0.2525300625300625,0.9999999999999998,0.5521276595744681
PC1.arff,0.3811196876807023,0.8628846153846155,0.8176016304849896,0.43898572691676135,0.3270834156731001,0.72,0.19423076923076923
ant-1.3.csv,0.5509160917700375,0.9457516339869281,0.9163267852847508,0.6518648018648019,0.49603174603174605,0.9666666666666666,0.2751633986928105
camel-1.0.csv,0.24392356946875568,0.8786531986531987,0.8248430070708338,0.21282301262327233,0.1226796580701246,0.9,0.3426936026936027
EQ.csv,0.6127916881221503,0.9110930735930737,0.8882506362023979,0.8694461417955072,0.7573779432197283,1.0229437229437228,0.40075757575757576
Safe.arff,0.5637865405894693,0.8616666666666667,0.790651951401224,0.8284737484737483,0.8155555555555555,0.9166666666666666,0.39333333333333337
PDE.csv,0.3877542278782486,0.8429064927427177,0.8213704929511744,0.5127809647397277,0.3988303925135419,0.7233613445378151,0.23754835905237992
xalan-2.4.csv,0.42909411013505644,0.8603862120559345,0.8411626136429202,0.5578054864869257,0.4460631271665754,0.7538011695906432,0.233028745478774
log4j-1.0.csv,0.6763282128112259,0.9559313725490195,0.9216855630936109,0.8047619047619048,0.7506349206349207,0.9133333333333333,0.20147058823529412
ar6.csv,0.3541435392469504,0.8085714285714285,0.7171432358095664,0.4771428571428572,0.403030303030303,0.7,0.28285714285714286
MW1.arff,0.40685149348078326,0.8558036984352773,0.8241917885650528,0.4899821746880571,0.395021645021645,0.72,0.20839260312944524
ar1.csv,0.2868362763063244,0.881578947368421,0.7874981513037189,0.2863636363636363,0.16746031746031745,1.1,0.5368421052631579
ar3.csv,0.7043498389499903,0.9833333333333334,0.9084302520287768,0.7333333333333333,0.74,0.9,0.13333333333333333
jedit-3.2.csv,0.6620678096495635,0.9418279569892473,0.9161739373693667,0.8497306097306098,0.76508658008658,0.9866666666666667,0.30301075268817207
PC3.arff,0.44365090618039177,0.9287793905440964,0.8905079319206666,0.5005059302071728,0.3292020743503794,1.0528138528138526,0.39525507172566005
ar5.csv,0.9311580158474124,1.08,1.0302943725152285,1.0076190476190476,0.9133333333333334,1.2,0.24
